Customer Email,Reservation ID
j.s@mail.com,22001
terry.su@mail.com,22001
s.hilbert@mail.com,22002
s.hilbert@mail.com,22003
dchen@mail.com,22004
jj.swtz@mail.com,22005
r.k@mail.com,22006
cyngu@mail.com,22006
ma.smith@mail.com,22007
jparki@mail.com,22007
ma.smith@mail.com,22008
jparki@mail.com,22008
orlows@mail.com,22009
j.s@mail.com,22010
malik_aa@mail.com,22011
malik_aa@mail.com,22012
jparki@mail.com,22013
shenian@mail.com,22014
shenian@mail.com,22015
shenian@mail.com,22016
shenian@mail.com,22017
orlows@mail.com,22018
t.g@gmail.com,22019
t.g@gmail.com,22020
t.g@gmail.com,22021
orlows@mail.com,22022
s.hilbert@mail.com,22023
s.hilbert@mail.com,22024
y.c@mail.com,22025
y.c@mail.com,22026
y.c@mail.com,22027
cyngu@mail.com,22028
dchen@mail.com,22029
shenian@mail.com,22030
dchen@mail.com,22030
y.c@mail.com,22030
t.g@gmail.com,22031
malik_aa@mail.com,22032
a.n@mail.com,22032
malik_aa@mail.com,22033
a.n@mail.com,22033
terry.su@mail.com,22034
jj.swtz@mail.com,22035
cyngu@mail.com,22036
s.hilbert@mail.com,22037
s.hilbert@mail.com,22038
